Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,gender,country,education,age,religion,orientation,married,familysize
3,4,4,4,3,4,4,4,4,3,4,3,2,4,3,US,2,19,12,2,1,2
3,3,3,4,3,2,2,3,4,3,2,3,3,3,2,PK,3,24,10,1,2,3
3,2,3,4,2,4,4,2,3,3,4,2,3,3,3,GB,1,13,1,5,1,3
2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,CZ,2,21,1,2,1,2
2,3,2,3,2,2,1,2,3,2,2,1,1,3,2,US,2,19,1,1,1,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,18,2,2,1,1
2,4,4,4,3,4,3,2,4,4,4,4,4,4,1,US,2,19,1,2,1,3
2,4,3,3,4,3,3,2,3,2,2,3,3,4,2,US,2,18,7,1,1,3
1,2,1,2,1,1,1,2,3,2,1,1,1,2,2,US,4,57,1,2,3,3
1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,CA,3,38,6,1,3,2
4,3,4,4,3,4,4,4,4,4,4,4,3,4,1,US,2,16,12,1,1,3
4,4,2,4,4,3,1,2,4,4,3,4,1,4,2,US,3,40,2,1,1,2
2,4,2,2,4,4,4,4,3,4,4,2,4,4,1,CA,4,22,8,1,1,2
1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,US,1,15,3,1,1,4
3,4,3,4,3,3,4,4,3,3,3,3,4,4,2,IN,4,25,8,1,1,2
2,4,4,3,3,4,3,3,3,3,4,3,3,4,2,US,1,13,2,3,1,2
3,4,4,4,3,4,4,4,3,3,4,3,4,3,2,US,1,15,7,1,1,4
2,3,1,2,3,2,2,3,2,3,1,2,1,2,2,US,1,19,2,2,1,4
4,2,3,3,3,3,4,1,3,2,4,3,3,2,2,US,2,17,12,1,1,2
1,2,1,2,1,1,1,2,2,1,2,1,1,4,2,DZ,3,21,10,5,1,4
2,3,1,2,1,2,2,2,2,3,2,1,2,3,1,FR,2,19,2,1,1,1
1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,US,2,18,7,1,1,1
3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,FI,2,17,2,2,1,2
1,4,4,3,2,4,2,2,3,2,4,2,2,4,2,PL,4,31,2,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,FI,2,19,2,2,1,3
1,3,2,2,1,4,4,1,2,2,4,4,4,4,2,CA,2,19,1,1,1,4
2,3,2,3,3,2,1,2,4,2,2,2,1,4,2,US,3,22,6,1,1,2
2,3,3,3,3,3,3,2,3,2,3,4,3,3,2,TR,2,20,2,2,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,US,4,52,12,1,2,5
2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,US,3,26,2,2,1,2
3,3,3,4,4,3,2,2,3,3,3,2,2,4,2,US,3,33,12,1,2,2
2,1,3,3,3,4,3,2,2,1,4,2,2,1,2,US,2,18,7,1,1,2
4,3,4,4,4,4,4,4,4,3,4,4,4,3,2,US,2,19,1,3,1,5
2,4,2,3,3,4,4,4,2,2,3,2,4,4,2,US,2,17,1,1,1,1
3,4,3,2,3,3,2,4,2,4,3,2,2,4,2,CR,2,63,12,1,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,32,7,1,2,2
2,4,2,3,1,1,1,1,2,1,3,2,1,4,2,US,3,40,6,1,2,3
3,4,2,3,4,4,2,3,3,4,4,2,4,4,1,BE,2,19,2,1,1,4
4,3,4,4,3,4,4,3,4,3,4,4,4,4,2,US,3,20,7,1,1,4
2,2,3,4,2,2,1,4,4,2,3,2,3,2,2,US,2,18,12,1,1,2
3,2,4,2,3,3,2,2,4,2,2,3,2,3,2,US,2,21,1,1,1,1
1,1,2,3,1,1,2,2,3,2,1,2,2,2,2,US,2,21,1,1,1,2
2,2,2,2,2,2,2,1,2,2,3,2,1,2,2,US,2,20,4,1,1,3
3,3,3,3,3,4,4,2,4,3,4,2,3,4,2,US,2,19,6,1,1,2
1,3,3,2,2,2,2,2,1,1,1,2,2,3,2,US,2,19,4,1,1,2
3,2,2,2,4,1,1,3,3,4,3,2,1,3,1,NO,3,22,2,3,1,2
1,3,1,2,1,1,1,1,2,1,2,2,1,4,2,US,3,21,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,US,3,22,7,1,1,1
3,2,4,3,4,3,3,3,3,2,2,4,4,3,2,US,3,21,9,1,1,3
3,2,2,2,3,1,1,2,2,2,2,2,1,2,2,AU,2,41,4,1,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,20,6,1,1,2
1,2,2,3,3,2,1,2,1,1,2,2,1,1,2,US,2,20,4,1,1,2
2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,US,3,21,7,1,1,1
2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,US,2,21,2,1,1,2
2,4,3,4,3,2,2,3,4,4,3,4,2,4,2,US,3,19,4,2,1,3
2,4,3,3,4,3,4,3,3,4,3,4,2,4,1,US,2,26,1,1,1,3
4,2,2,3,3,4,3,3,2,2,4,4,3,3,2,US,3,20,4,1,1,1
2,3,3,3,3,4,3,3,3,3,3,3,3,3,2,US,2,21,9,1,1,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,18,1,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,3,20,7,1,1,3
1,3,1,1,1,3,1,1,2,1,1,1,1,3,2,US,2,21,2,1,1,2
3,3,4,4,4,4,3,4,4,4,4,4,4,3,2,US,2,20,6,1,1,1
3,4,3,3,3,2,2,3,2,2,2,2,2,3,2,US,2,20,4,1,1,3
1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,FR,4,55,1,1,2,3
2,2,2,2,3,2,2,2,2,3,2,2,2,3,1,US,4,55,6,1,2,3
1,3,2,3,1,3,2,2,3,2,2,2,2,3,1,US,2,22,1,3,1,6
1,1,1,2,2,2,1,2,2,1,3,3,2,1,1,CA,2,60,7,1,2,4
2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,US,2,20,4,1,1,3
3,4,4,4,4,3,3,4,4,3,3,4,4,3,2,US,3,25,2,3,1,4
2,2,4,3,3,4,4,3,2,3,4,2,4,4,1,US,2,34,1,1,3,3
4,4,4,4,1,4,4,4,4,4,4,4,4,4,2,GB,2,16,1,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,US,2,20,1,1,1,3
1,1,1,2,2,2,1,1,3,1,2,1,1,2,1,PK,2,18,2,1,1,3
2,2,3,3,2,2,1,2,3,2,2,2,1,3,2,US,2,37,7,1,2,2
3,4,4,4,4,2,2,4,3,3,2,4,3,4,1,IN,2,19,8,0,1,0
2,3,1,3,1,1,1,1,2,1,1,1,2,2,2,PH,4,25,7,1,1,2
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,ID,3,21,10,1,1,0
3,4,3,4,4,4,3,2,4,4,4,2,2,2,2,MY,3,27,10,1,1,7
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NONE,1,21,10,1,1,4
1,1,1,1,1,1,1,1,3,1,1,3,1,2,2,ID,2,14,2,5,1,3
4,3,3,3,3,3,2,2,2,3,3,2,4,3,1,DE,3,27,2,1,1,3
2,4,2,3,2,3,3,2,3,3,2,2,2,4,2,US,3,37,2,2,1,3
1,1,2,2,1,1,1,2,2,2,1,1,1,2,2,US,3,37,1,2,2,3
3,3,2,4,4,4,3,4,4,3,4,3,4,4,1,IE,2,17,1,1,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,GB,2,47,4,5,1,8
2,3,1,2,2,1,1,2,3,3,1,1,1,3,2,ZA,4,26,6,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,US,4,42,4,1,2,6
2,3,2,3,3,3,2,3,3,3,3,2,2,3,2,US,2,45,12,1,2,2
2,2,4,4,4,4,4,4,4,4,4,4,3,3,1,US,1,16,1,1,1,0
2,3,4,4,2,4,2,3,4,4,4,3,3,3,2,US,2,30,1,1,1,3
4,4,4,4,4,4,4,4,4,3,4,3,2,4,2,US,2,66,12,1,3,1
2,2,4,3,1,2,2,4,2,1,1,1,3,2,2,US,4,38,2,1,1,2
4,3,4,4,4,3,3,4,3,4,3,2,2,4,2,US,3,28,1,2,3,3
2,3,3,4,3,4,3,3,3,2,3,4,3,3,2,US,1,16,12,1,1,4
1,2,1,2,1,1,1,1,3,2,1,1,1,2,2,US,3,34,7,1,2,3
2,3,3,3,2,2,3,2,4,3,3,2,2,4,1,GB,1,18,2,5,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,1,13,2,2,1,4
3,2,4,2,4,4,3,4,2,4,4,4,4,4,1,US,3,31,2,1,1,2
3,4,2,3,1,1,2,2,2,2,2,2,2,4,2,PH,2,17,4,1,1,6
2,4,1,1,1,2,1,1,2,2,2,1,1,3,1,NL,4,33,2,1,2,1
3,3,2,4,3,3,2,3,4,2,4,2,2,2,2,ES,2,18,1,5,1,6
1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,NL,2,17,2,2,1,3
3,4,4,4,4,4,4,4,4,2,3,4,4,4,2,US,3,32,7,4,2,2
2,2,1,2,2,3,1,3,3,2,1,1,1,3,1,US,2,23,1,3,1,2
3,4,3,4,3,4,4,2,4,2,3,3,3,4,2,FR,2,18,2,3,1,2
2,4,3,3,2,2,3,3,4,3,3,3,4,3,2,CA,4,29,1,2,1,4
2,2,1,3,1,4,2,1,3,1,3,1,1,2,2,RU,3,27,7,1,1,1
4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,DK,3,23,1,3,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,GB,2,17,2,2,1,2
1,2,2,3,2,3,3,2,3,2,3,3,3,2,2,GB,4,31,6,1,1,1
4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,US,2,21,7,1,1,2
2,4,4,4,4,3,2,3,4,4,1,4,1,4,2,US,2,18,6,1,1,4
2,4,2,2,1,2,1,2,2,2,2,1,1,2,2,US,1,17,1,2,1,4
2,3,2,3,2,3,3,3,3,2,3,2,2,3,2,US,2,16,2,1,1,2
3,3,3,4,4,4,3,3,4,2,4,4,4,3,2,US,3,21,2,4,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,19,1,1,1,2
2,4,4,3,4,4,4,2,4,3,4,4,3,4,1,VE,2,21,4,1,1,2
1,3,2,2,1,1,1,2,2,1,1,2,1,2,2,US,2,20,7,1,1,1
2,3,3,4,4,2,3,3,4,4,3,3,3,4,2,US,4,51,4,1,1,3
1,2,2,2,1,1,2,1,2,2,1,2,2,2,3,US,1,15,1,4,1,3
4,4,2,4,3,3,4,4,4,4,4,3,2,4,1,US,4,41,4,1,2,2
4,2,4,4,4,4,4,2,4,4,4,4,4,4,3,US,1,16,12,5,1,3
2,3,3,4,2,2,3,3,3,3,3,2,2,2,2,US,2,57,7,1,3,5
1,4,1,1,1,1,1,2,1,1,1,1,2,3,2,US,1,17,1,2,1,1
4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,NONE,1,17,10,3,1,2
4,4,4,4,4,4,4,3,4,3,4,4,4,4,1,US,3,25,7,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,TT,2,35,4,1,1,3
1,2,1,2,1,2,1,1,2,1,2,2,1,3,2,US,4,50,1,1,2,3
3,4,3,4,3,4,4,3,4,4,4,4,4,4,3,ES,2,13,1,3,1,3
4,4,4,4,4,4,4,4,2,4,4,4,4,4,1,DE,2,19,7,2,1,3
2,4,1,4,2,2,1,3,2,2,1,2,1,3,2,US,2,26,7,1,2,2
2,3,2,2,3,3,2,2,1,2,3,2,2,3,3,GB,3,22,2,1,1,2
1,1,1,1,3,1,1,2,2,1,1,1,1,3,2,GB,2,18,1,2,1,2
1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,US,3,40,1,1,1,4
3,3,3,1,3,3,1,4,2,4,2,2,1,3,2,US,1,13,12,5,1,3
2,4,2,3,2,3,2,2,2,3,4,1,2,4,1,SE,2,18,2,1,1,5
1,1,1,2,1,2,1,2,1,1,2,1,1,3,2,US,2,18,7,1,1,1
2,4,3,4,3,4,3,4,4,4,4,4,4,3,2,US,1,16,3,1,1,2
1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,US,2,22,2,2,3,4
1,3,1,2,2,3,2,2,1,1,2,1,1,4,2,AU,2,18,4,2,1,2
4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,US,1,14,2,4,1,2
2,4,4,2,3,2,2,2,2,3,2,2,2,4,2,CA,2,34,2,1,2,5
2,3,4,3,3,4,3,4,3,2,4,4,3,4,2,US,2,18,1,2,1,3
3,4,4,4,4,4,4,3,4,4,4,1,4,4,2,CA,1,16,12,1,1,3
2,3,2,3,2,3,2,2,3,1,4,1,2,3,2,US,1,16,2,2,1,2
3,3,1,2,1,2,1,3,2,3,1,1,1,4,1,US,2,24,1,1,1,3
2,3,3,4,3,1,2,3,3,3,2,3,4,4,1,AU,3,30,2,1,2,3
3,3,3,4,4,2,2,3,4,3,3,3,3,4,2,IT,3,45,1,3,1,2
1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,ES,3,59,2,1,2,1
3,3,4,4,2,4,3,2,2,3,4,2,4,4,3,US,1,15,12,2,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,AU,2,16,1,5,1,2
2,3,3,3,2,3,2,2,3,2,2,3,2,2,2,US,3,43,6,1,2,2
1,2,2,2,2,1,2,2,2,1,1,2,2,3,1,SE,3,19,4,1,1,2
2,2,1,2,2,2,1,2,2,2,2,1,1,3,2,UA,4,33,6,1,2,2
3,2,2,2,4,4,3,4,2,3,3,2,1,4,2,US,2,16,4,2,1,2
4,3,4,2,4,4,2,4,2,2,4,4,2,3,2,IN,4,23,10,2,1,2
2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,US,4,45,12,1,3,3
2,2,3,3,4,4,3,3,1,2,4,4,4,4,1,CH,2,15,7,1,1,2
3,2,2,3,4,2,2,4,3,4,2,2,2,3,1,GB,3,27,1,2,1,3
1,1,1,3,3,1,1,2,2,1,2,1,1,2,2,US,2,19,7,3,1,7
3,3,1,3,3,4,2,2,3,2,4,3,1,4,2,US,2,39,7,1,1,2
1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,DE,2,30,4,1,1,3
1,3,2,3,2,2,1,2,3,1,2,2,2,4,2,BR,2,20,1,1,1,1
2,4,2,4,2,2,1,2,2,2,4,1,1,2,2,US,2,22,7,1,1,2
2,2,2,3,1,2,2,3,3,1,3,3,3,2,1,CA,4,33,4,1,1,3
1,2,1,2,1,2,2,2,2,1,2,1,1,4,2,CA,2,19,12,3,1,2
2,3,4,3,2,4,3,4,3,3,4,3,2,3,1,IN,2,16,2,4,1,1
1,2,1,2,1,1,2,2,1,2,2,2,1,2,3,US,2,20,6,4,1,2
3,3,4,2,3,3,3,3,3,3,4,4,4,3,1,US,1,14,7,1,1,2
4,4,4,3,4,4,2,4,4,4,3,4,3,3,2,US,1,14,2,4,1,2
3,2,4,4,2,3,4,3,3,2,4,4,4,4,2,US,2,25,12,2,1,4
1,3,2,2,1,2,1,1,3,1,1,1,2,3,2,US,2,21,3,1,1,2
4,2,4,4,3,4,4,2,4,3,4,2,4,3,2,CA,1,16,4,1,1,5
2,4,4,3,4,4,2,3,4,3,4,4,4,2,2,MY,1,17,10,1,1,0
1,1,1,2,1,2,1,1,2,1,2,1,2,3,2,PL,1,17,4,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,FR,2,25,2,4,1,1
3,3,2,4,4,4,3,3,3,3,4,4,3,3,2,MY,2,17,10,1,1,3
2,2,3,4,2,4,3,2,2,2,4,4,2,3,2,MY,2,22,10,1,1,7
2,4,1,2,1,1,1,2,2,2,1,2,1,3,1,US,3,28,12,1,1,2
2,3,3,2,4,3,3,3,2,2,3,3,3,3,2,AU,1,16,12,0,1,3
1,2,2,1,1,2,1,2,2,2,1,1,1,2,1,CA,4,53,2,1,2,5
2,3,2,4,3,4,3,2,2,3,4,2,4,2,2,HR,1,15,4,4,1,2
2,2,3,3,4,4,4,3,3,3,4,3,3,3,1,US,2,19,12,3,1,3
3,2,3,4,2,3,3,3,4,3,3,3,3,2,2,US,1,14,4,2,1,3
2,2,3,3,2,2,2,2,3,2,3,3,3,3,2,ES,2,16,1,2,1,1
4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,US,1,15,7,3,1,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,AT,2,14,0,2,0,1
2,3,4,2,3,2,2,3,3,2,2,3,4,4,2,US,1,15,1,3,1,2
2,4,3,3,3,3,2,3,3,3,3,3,2,3,2,US,4,33,6,1,1,2
3,2,4,4,4,2,3,4,4,4,3,4,3,3,2,US,2,17,7,4,1,3
2,4,3,4,2,4,2,4,3,3,4,3,2,3,2,RO,1,19,1,1,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,GB,1,13,2,5,1,2
2,3,3,3,2,2,2,2,3,2,3,2,2,2,2,US,1,15,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,US,1,15,6,4,1,2
3,4,2,4,3,4,4,3,4,2,4,3,4,3,2,US,2,17,1,2,1,3
4,4,4,3,4,4,4,4,4,4,4,3,4,4,1,US,2,17,2,3,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,US,3,53,1,1,1,3
3,3,4,4,2,4,4,3,4,3,4,4,4,3,1,US,2,17,2,4,1,4
2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,AU,2,16,12,2,1,1
1,2,1,4,1,1,1,1,4,1,1,1,1,3,1,US,3,40,2,1,3,2
1,4,3,4,2,3,3,2,4,1,4,2,3,4,1,US,1,17,7,1,1,3
4,4,4,4,4,3,3,3,3,3,3,4,4,4,1,AU,2,73,1,1,2,2
2,3,4,4,4,4,4,3,4,4,4,3,4,4,2,CO,2,16,1,3,1,3
4,4,3,4,4,2,4,4,4,4,2,4,4,4,2,US,3,30,1,1,1,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,1,15,2,2,1,5
2,4,3,3,2,4,3,2,3,2,4,3,3,3,2,PH,1,17,1,1,1,0
1,4,1,1,1,1,1,2,1,1,1,2,1,4,2,US,3,55,4,1,2,4
3,3,3,3,4,3,3,3,3,2,4,3,4,3,2,DE,2,19,2,3,1,2
2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,IN,3,28,8,1,1,2
2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,US,2,20,7,1,1,1
2,3,2,3,2,2,1,2,3,2,2,2,1,3,2,ID,3,21,6,1,1,2
1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,SG,4,45,8,1,2,2
2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,GB,4,30,10,1,2,6
1,4,1,3,3,4,2,2,2,1,4,3,1,3,2,US,3,21,1,2,1,2
4,4,4,3,4,3,4,4,4,4,2,3,3,4,1,MY,2,19,3,1,1,3
2,2,2,3,1,4,2,2,2,2,2,1,2,3,2,US,1,17,7,1,1,2
4,2,4,4,4,4,4,4,3,4,4,4,3,3,2,US,2,29,7,1,3,2
1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,DE,3,35,4,1,1,1
4,4,3,3,3,2,3,4,2,3,2,4,3,2,1,SK,3,22,4,1,1,2
2,3,3,3,3,3,3,3,3,2,3,3,2,3,2,FI,4,40,2,1,2,2
1,4,1,1,1,2,2,1,1,1,2,1,1,4,2,US,3,23,1,2,2,2
2,2,1,4,1,1,1,1,1,2,2,1,1,1,2,RO,3,21,2,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,SK,2,21,2,1,1,1
1,2,3,2,2,3,2,2,2,2,2,2,2,3,2,US,3,25,6,2,1,2
3,3,3,3,3,2,3,3,3,3,2,4,3,4,1,AU,2,19,2,1,1,2
2,2,3,3,4,2,2,3,3,3,3,1,3,2,1,BR,3,18,2,1,1,2
3,4,4,4,3,4,4,4,4,2,4,4,4,4,1,US,1,16,1,2,1,3
4,2,3,3,2,3,3,3,4,3,3,3,3,2,1,CA,0,56,12,1,2,4
3,2,4,4,4,4,3,2,2,3,4,3,4,4,2,ES,3,33,2,2,1,2
2,3,2,1,2,2,2,3,2,3,3,1,2,2,1,US,1,16,6,1,1,2
2,4,4,4,4,3,4,3,2,3,4,4,4,4,3,US,2,18,2,4,1,4
4,4,4,4,4,3,4,2,4,4,3,4,4,4,1,CA,2,19,1,5,1,4
3,4,4,4,4,4,4,3,4,3,4,3,4,3,2,US,2,17,7,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,US,1,19,1,3,1,4
1,3,1,2,1,1,1,1,2,2,2,1,1,4,2,US,3,25,1,1,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,1,13,0,2,1,5
2,2,3,3,2,2,4,2,3,2,2,2,2,2,2,MX,3,21,12,1,1,1
3,4,4,4,3,4,3,3,4,3,4,4,3,4,1,US,3,52,6,1,2,4
1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,CA,3,23,2,1,1,2
3,3,3,4,3,4,4,2,4,2,4,4,4,2,1,AU,2,15,1,2,1,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,GB,2,19,4,3,1,2
1,4,2,3,3,2,2,3,4,2,3,2,3,4,2,GB,3,28,12,1,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,MY,3,29,10,1,1,3
3,4,4,4,4,4,4,4,3,3,4,4,4,3,2,CA,1,15,2,3,1,2
2,3,1,3,1,4,2,2,3,2,4,1,1,3,3,US,0,16,1,3,1,3
3,3,4,4,3,3,4,4,4,4,4,4,3,4,2,CH,3,19,1,2,1,0
4,3,3,3,3,3,3,3,3,3,4,3,4,3,1,AU,1,15,1,2,1,9
2,4,1,2,2,2,1,2,3,1,3,1,1,4,1,US,2,18,12,3,1,5
3,2,2,4,3,3,3,3,4,3,2,2,3,3,2,US,2,18,6,1,1,6
2,2,2,2,3,1,4,2,3,2,2,2,3,2,1,GB,4,27,4,1,1,9
3,4,3,4,4,4,4,2,4,4,4,3,4,4,1,US,3,46,1,1,3,2
4,3,4,4,4,4,3,4,3,4,4,3,4,4,2,US,2,18,2,1,1,5
3,4,2,3,3,2,2,3,4,3,3,3,3,3,2,SG,3,24,1,1,1,4
1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,US,2,21,1,5,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,BR,3,25,12,1,1,2
3,4,3,4,3,2,4,3,4,3,3,3,3,4,2,PL,4,29,1,1,1,1
2,4,2,3,3,3,3,3,4,2,4,3,2,2,2,US,2,16,4,1,1,1
1,1,1,1,2,1,1,1,1,2,2,1,1,3,2,US,3,21,9,2,1,4
2,2,2,2,4,1,1,4,2,2,1,1,1,3,2,US,1,16,7,1,1,2
4,4,4,4,4,4,4,4,4,3,4,3,4,4,2,US,1,14,7,1,1,4
4,4,4,4,4,4,4,2,4,3,4,4,4,3,2,MY,2,30,10,1,1,4
4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,PH,2,18,4,4,1,3
4,4,4,3,4,2,2,4,3,4,2,4,2,4,2,AU,1,15,4,2,1,2
2,3,2,2,3,3,1,2,3,2,4,2,1,4,2,US,2,14,0,3,1,2
1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,US,4,53,7,1,2,5
3,3,3,4,4,4,4,3,4,3,4,4,4,4,2,AU,2,71,4,1,3,1
2,2,3,4,1,4,3,2,3,2,3,4,3,2,1,ID,2,19,4,1,1,2
2,2,1,2,1,1,1,3,2,3,1,1,1,3,2,US,3,22,7,1,1,3
2,2,2,3,3,3,3,2,3,1,3,2,2,3,1,US,2,20,1,1,1,2
2,2,3,2,2,3,2,1,1,2,4,3,3,2,2,US,2,19,1,2,1,5
2,3,3,3,2,3,3,2,3,2,4,3,3,3,2,RS,1,15,5,1,1,2
1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,US,3,47,6,1,1,3
1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,RO,4,25,1,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,US,2,26,7,1,2,2
1,1,1,2,3,3,1,2,3,2,2,1,1,3,2,RO,3,36,7,1,1,3
1,3,1,2,1,1,1,2,2,1,2,1,1,4,2,US,1,17,12,5,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,1,14,12,1,1,2
4,4,4,4,4,4,4,4,4,3,4,2,4,4,2,US,2,18,3,5,1,4
2,4,3,4,3,4,3,2,4,2,4,3,3,4,2,CA,1,15,4,1,1,2
2,2,3,2,2,3,1,2,2,3,2,3,2,2,1,US,2,18,2,3,1,2
2,1,3,1,1,1,1,2,1,1,1,1,2,1,1,US,2,18,2,2,1,3
4,2,2,2,1,2,2,3,3,1,2,3,2,2,2,US,2,20,1,1,1,3
3,3,3,4,4,2,3,3,3,3,3,3,3,4,2,MY,4,31,10,1,2,2
3,3,3,3,3,3,3,2,3,3,2,2,3,2,2,US,1,14,4,4,1,3
2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,US,1,14,2,2,1,2
3,2,3,3,3,2,2,3,3,4,2,2,3,2,2,CA,2,14,2,2,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,2,22,7,1,1,1
3,4,3,3,3,4,3,4,3,4,3,2,3,4,3,CA,4,23,4,2,1,3
2,2,2,3,2,2,2,2,2,2,2,3,1,1,2,US,3,20,7,2,1,2
4,4,2,4,4,4,4,4,4,4,4,2,3,4,3,US,2,23,12,5,1,3
3,4,2,4,3,2,2,4,3,3,1,2,1,4,2,GB,4,39,6,1,1,2
1,1,4,2,3,3,3,2,3,3,1,2,3,3,1,US,2,22,12,1,1,3
2,3,3,4,4,4,4,4,4,4,4,2,3,4,2,US,2,25,12,5,1,3
1,2,3,3,2,3,2,4,4,1,2,2,2,2,2,PH,3,22,1,4,1,1
2,4,3,4,4,4,1,4,3,3,4,4,2,4,2,AU,2,49,4,1,3,2
1,3,2,2,2,3,1,2,2,2,2,2,1,3,2,DE,2,18,2,4,1,5
2,3,3,3,2,2,2,4,3,3,2,2,2,3,2,US,2,38,6,1,2,3
2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,US,1,15,7,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,16,2,2,1,4
2,4,4,4,3,4,3,4,3,3,3,3,4,4,3,US,1,16,3,2,1,3
3,4,4,4,4,3,4,4,4,3,4,4,4,4,2,US,1,16,7,4,1,3
2,4,2,3,4,1,1,3,3,3,1,1,1,4,2,US,3,44,4,1,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,US,2,23,2,1,1,3
2,3,2,3,3,4,4,4,3,2,4,3,3,3,1,CA,2,23,2,2,1,2
2,3,1,3,1,3,1,2,3,1,3,1,3,3,2,US,3,20,6,1,1,2
3,4,2,3,3,3,2,3,2,4,3,2,3,4,2,US,2,32,2,2,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,GB,1,14,2,5,1,3
1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,US,3,25,1,2,2,4
3,2,3,4,3,3,3,4,3,3,4,3,4,2,2,US,2,17,11,1,1,3
1,4,1,2,2,4,2,2,2,2,1,1,1,4,2,US,1,17,1,3,1,4
3,2,3,1,3,1,2,2,2,4,1,2,2,2,1,US,3,27,7,1,1,4
4,4,4,4,4,2,2,4,3,4,2,4,2,4,2,US,4,21,4,0,1,3
2,4,3,3,4,3,3,3,3,3,4,2,4,4,2,US,2,22,2,1,1,3
